"ASKÖ Henndorf Orienteering";"ASKÖ Henndorf"
"ASUB Orientation";"ASUB"
"Dandenong Ranges Orienteering Club";"Dandenong Ranges"
"Eksjö Garnisons";"Eksjö Garnison"
"Enköpings Garnisons";"Enköpings Garnison"
"Hagaby GoIF Örebro";"Hagaby GoIF"
"Halmstad Garnisons";"Halmstad Garnison"
"Helsingin Poliisi-Voimailijat";"Helsingin PV"
"Helsingin Suunnistajat";"Helsingin"
"IKHP Huskvarna";"IKHP"
"Idrottsföreningen OLGY Uppsala";"OLGY Uppsala"
"Kajaanin Suunnistajat";"Kajaanin"
"Kalajoen Junkkarit";"Kalajoen J."
"Kankaanpään Suunnistajat";"Kankaanpään"
"Karbennings GoIF";"Karbenning"
"Kouvolan Suunnistajat";"Kouvolan"
"Kuopion Suunnistajat";"Kuopion"
"Kymin Suunnistajat";"Kymin"
"OK Sør";"Sør"
"OK Tor";"Tor"
"OK Tyr";"Tyr"
"OK Øst";"Øst"
"OK24 Praha";"OK24 Praha"
"OK99 Hradec Kralove";"OK99"
"Røa IL";"Røa"
"Rønne Orientering";"Rønne"
"Røyken O-lag";"Røyken"
"S-E Bankens";"S-E Banken"
"SOIK Hellas";"Hellas"
"SOK 68";"SOK 68"
"Åby Skid o OK";"Åby"
"Åre OK";"Åre"
"Öje IF";"Öje"
Alleskolans;Alleskolan
Anderstorps;Anderstorp
Andrarums;Andrarum
Ankarsrums;Ankarsrum
Annebergs;Anneberg
Arvidsjaurs;Arvidsjaur
Askersunds;Askersund
Bergens;Bergen
Bergnäsets;Bergnäset
Birkenes;Birkenes
Bjurholms;Bjurholm
Björnstorps;Björnstorp
Bodens;Boden
Bolidens;Boliden
Bottnaryds;Bottnaryd
Boxholms;Boxholm
Bredareds;Bredared
Bredaryds;Bredaryd
Brittatorps;Brittatorp
Burseryds;Burseryd
Bækkelagets;Bækkelaget
Dackeskolans;Dackeskolan
Dalaportens;Dalaporten
Dalregementets;Dalregementet
Djurgårdens;Djurgården
Djurs;Djur
Domnarvets;Domnarvet
Duveds;Duved
Edsbyns;Edsbyn
Edstjärns;Edstjärn
Enebybergs;Enebyberg
Enköpings;Enköping
Falkenbergs;Falkenberg
Falköpings;Falköping
Filipstads;Filipstad
Filipstadsbygden;Filipstadsbygden
Finspångs;Finspång
Forsmarks;Forsmark
Fredrikshofs;Fredrikshof
Främmestads;Främmestad
Funäsdalens;Funäsdalen
Funäsfjällens;Funäsfjällen
Fältjägarnas;Fältjägarna
Gagnefs;Gagnef
Gammelstads;Gammelstad
Garphyttans;Garphyttan
Godegårds;Godegård
Grisslehamns;Grisslehamn
Gränna-Bygdens;Gränna-Bygden
Gudhems;Gudhem
Gustavsbergs;Gustavsberg
Gällstadbygdens;Gällstadbygden
Gällstads;Gällstad
Göteborgs;Göteborg
Heleneholms;Heleneholm
Helsingborgs;Helsingborg
Herrestads;Herrestad
Hjobygdens;Hjobygden
Hjortens;Hjorten
Hjärnarps;Hjärnarp
Horndals;Horndal
Horsens;Horsen
Horten;Horten
Hudiksvalls;Hudiksvall
Hultsfreds;Hultsfred
Hulåns;Hulån
Husums;Husum
Hällestads;Hällestad
Härlövs;Härlöv
Härnösands;Härnösand
Hässleholms;Hässleholm
Häverödals;Häverödal
Högåkers;Högåker
Idefjordens;Idefjorden
Idrefjällens;Idrefjällen
Insjöns;Insjön
Istrums;Istrum
Jönköpings;Jönköping
Karlbergs;Karlberg
Karlsbyhedens;Karlsbyheden
Katrineholms;Katrineholm
Kexholms;Kexholm
Kolebakkens;Kolebakken
Kristinehamns;Kristinehamn
Krokeks;Krokek
Kungsgårdens;Kungsgården
Kungälvs;Kungälv
Kvarnsvedens;Kvarnsveden
Kvillebyns;Kvillebyn
Laholms;Laholm
Leksands;Leksand
Lidköpings;Lidköping
Lindebygdens;Lindebygden
Linköpings;Linköping
Litsbygdens;Litsbygden
Livgardets;Livgardet
Ljusdals;Ljusdal
Lommedalens;Lommedalen
Lugnviks;Lugnvik
Lustens;Lusten
Långshyttans;Långshyttan
Långvikens;Långviken
Majornas;Majorna
Malmbergets;Malmberget
Mariestads;Mariestad
Markbygdens;Markbygden
Munkedals;Munkedal
Myggans;Myggan
Mälarhöjdens;Mälarhöjden
Norbergs;Norberg
Norrhults;Norrhult
Norrköpings;Norrköping
Norrvirdarna;Norrvirdarna
Nydalens;Nydalen
Nyköpings;Nyköping
Nynäshamns;Nynäshamn
Offerdals;Offerdal
Orrvikens;Orrviken
Oskarströms;Oskarström
Oslättforspojkarnas;Oslättforspojkarna
Postens;Posten
Rehns;Rehns BK
Rydboholms;Rydboholm
Simlångsdalens;Simlångsdalen
Simrishamns;Simrishamn
Skarpnäcks;Skarpnäck
Skattkärrs;Skattkärr
Skillingaryds;Skillingaryd
Skogsluffarnas;Skogsluffarna
Skogspojkarnas;Skogspojkarna
Skutskärs;Skutskär
Skåneslättens;Skåneslätten
Smedjebackens;Smedjebacken
Smedsbyns;Smedsbyn
Spårvägens;Spårvägen
Stenungsunds;Stenungsund
Stockholmspolisens;Stockholmspolisen
Storviks;Storvik
Sundbybergs;Sundbyberg
Sundsvalls;Sundsvall
Surahammars;Surahammar
Sveaskogs;Sveaskog
Sälens;Sälen
Säterbygdens;Säterbygden
Sävedalens;Sävedalen
Söderhamns;Söderhamn
Söderåsens;Söderåsen
Tandsbyns;Tandsbyn
Tenhults;Tenhult
Tjällmo-Godegårds;Tjällmo-Godegård
Tockarps;Tockarp
Trollhättans;Trollhättan
Trosabygdens;Trosabygden
Turebergs;Tureberg
Tväråbäcks;Tväråbäck
Ulricehamns;Ulricehamn
Ulriksbergs;Ulriksberg
Umedalens;Umedalen
Vaggeryds;Vaggeryd
Vemdalens;Vemdalen
Vingåkers;Vingåker
Visborgs;Visborg
Vittjärvs;Vittjärv
Västerviks;Västervik
Västvärmlands;Västvärmland
Ystads;Ystad
Ytterhogdals;Ytterhogdal
Älvdalens;Älvdalen
Åtvidabergs;Åtvidaberg
Ödeshögs;Ödeshög
Örnsköldsviks;Örnsköldsvik
Östersunds;Östersund
Västerbergslagens; Västerbergslagens
IFK Göteborg Orientering;IFK Göteborg
Kouvolan Suunnistajat;Kouvolan
Waxholms;Waxholm
